range_name,size_mm,status_raw,status,batch,tiles_per_box,m2_per_box,tiles_per_m2,boxes,loose_tiles,qty_tiles,m2
Lakea Grey,300x600,Current Stock,in_stock,1M01,8,1.44,5.555555555555555,40,,320,57.6
Lakea Grey,600x600,Current Stock,in_stock,1M01,4,1.44,2.7777777777777777,2,,8,2.88
Lakea Grey,600x600,Current Stock,in_stock,1M02,4,1.44,2.7777777777777777,9,3,39,14.040000000000001
Lakea Grey,600x600,Current Stock,in_stock,1M06,4,1.44,2.7777777777777777,13,1,53,19.080000000000002
Lakea Grey Décor,300x600,Current Stock,in_stock,0001,6,1.08,5.555555555555555,28,4,172,30.96
Lakea Sand,300x600,Current Stock,in_stock,1M01,8,1.44,5.555555555555555,4,4,36,6.48
Lakea Sand,300x600,Current Stock,in_stock,1M04,8,1.44,5.555555555555555,4,5,37,6.66
Lakea Sand,300x600,Current Stock,in_stock,4M08,8,1.44,5.555555555555555,30,5,245,44.1
Lakea Sand Décor NEW,300x600,Current Stock,in_stock,1M01,8,1.44,5.555555555555555,6,1,49,8.82
Lakea Sand,600x600,Current Stock,in_stock,1M02,4,1.44,2.7777777777777777,3,2,14,5.04
Lakea Sand,600x600,Current Stock,in_stock,1M14,4,1.44,2.7777777777777777,15,1,61,21.96
Lakea Sand,600x600,Ordered,on_order,4M15,4,1.44,2.7777777777777777,12,,48,17.28
Lance Cinder,600x600,Current Stock,in_stock,4M03,4,1.44,2.7777777777777777,14,1,57,20.52
Lance Grey,600x600,Current Stock,in_stock,*005,3,1.08,2.7777777777777777,2,1,7,2.52
Lance Grey,600x600,Current Stock,in_stock,*004,3,1.08,2.7777777777777777,1,2,5,1.8
Lance Grey,600x600,Current Stock,in_stock,OM01/4,4,1.44,2.7777777777777777,1,1,5,1.8
Lance Grey,600x600,Current Stock,in_stock,4M05,4,1.44,2.7777777777777777,16,2,66,23.76
Lance Grey,600x600,Current Stock,in_stock,*002,3,1.08,2.7777777777777777,2,,6,2.16
Lance Ivory,600x600,Current Stock,in_stock,0004/5,3,1.08,2.7777777777777777,4,2,14,5.04
Lance Ivory,600x600,Current Stock,in_stock,4M12,4,1.44,2.7777777777777777,3,1,13,4.680000000000001
Lance Sand,600x600,Current Stock,in_stock,4M05/1,4,1.44,2.7777777777777777,12,,48,17.28
Lance Sand,600x600,Current Stock,in_stock,0003/3,3,1.08,2.7777777777777777,7,2,23,8.280000000000001
Lance Sand,600x600,Current Stock,in_stock,0M01/4,4,1.44,2.7777777777777777,20,3,83,29.880000000000003
Lakea White,600x600,Current Stock,in_stock,1M03,4,1.44,2.7777777777777777,4,,16,5.76
Lantica Portes,600x900,Current Stock,in_stock,L50/4,3,1.62,1.8518518518518516,1,2,5,2.7
Lantica Portes,600x900,Ordered,on_order,R49/4,3,1.62,1.8518518518518516,32,,96,51.84
Lantica Florac,600x900,Current Stock,in_stock,M49/4,3,1.62,1.8518518518518516,24,2,74,39.96000000000001
Lava Cinder,300x600,Current Stock,in_stock,1M01,8,1.44,5.555555555555555,8,,64,11.52
